,wikidata_code,name,gender,un_region,un_subregion,level1_main_occ,level2_main_occ,level3_main_occ,wiki_readers_2015_2018,ranking_visib_5criteria,total_noccur_links_b
1030710,Q297,Diego_Velázquez,Male,Europe,Southern Europe,Culture,Culture-core,painter,4905916,367.0,81
1250573,Q37327,Samuel_Beckett,Male,Europe,Western Europe,Culture,Culture-core,writer,4916130,368.0,99
1209428,Q35548,Paul_Cézanne,Male,Europe,Western Europe,Culture,Culture-core,painter,5598947,369.0,89
1009757,Q2908,Antoine_de_Saint-Exupéry,Male,Europe,Western Europe,Culture,Culture-core,writer,8190600,376.0,76
2256732,Q9161,Josip_Broz_Tito,Male,Europe,Western Europe,Leadership,Politics,politician,8659316,379.0,51
1325821,Q41264,Johannes_Vermeer,Male,Europe,Western Europe,Culture,Culture-core,painter,6035860,381.0,73
2062648,Q7197,Simone_de_Beauvoir,Female,Europe,Western Europe,Culture,Culture-core,writer,7392551,382.0,66
496157,Q175535,Matt_Damon,Male,America,Northern America,Culture,Culture-core,actor,28405624,387.0,50
1318480,Q40523,Julia_Roberts,Female,America,Northern America,Culture,Culture-core,actor,29912250,388.0,48
137709,Q131814,Tina_Turner,Female,America,Northern America,Culture,Culture-core,singer,18530832,390.0,54
1327982,Q41513,William_Blake,Male,Europe,Western Europe,Culture,Culture-core,painter,6157788,391.0,113
1354049,Q43303,Malcolm_X,Male,America,Northern America,Leadership,Politics,politician,19481446,392.0,47
124054,Q128121,Mick_Jagger,Male,Europe,Western Europe,Culture,Culture-core,actor,17741418,394.0,61
855704,Q25310,Robert_F._Kennedy,Male,America,Northern America,Leadership,Administration/Law,lawyer,13361929,396.0,61
1179478,Q34211,Yasser_Arafat,Male,Asia,Western Asia (Middle East Caucasus),Leadership,Politics,politician,6964322,397.5,53
1137974,Q329,Nicolas_Sarkozy,Male,Europe,Western Europe,Leadership,Politics,politician,5735738,401.0,55
2151298,Q765165,Leonid_Brezhnev,Male,Europe,Eastern Europe,Leadership,Politics,politician,10456734,404.5,48
620627,Q19878,Muammar_Gaddafi,Male,Africa,North Africa,Leadership,Politics,politician,17350924,407.0,43
257276,Q157,François_Hollande,Male,Europe,Western Europe,Leadership,Politics,politician,8444835,414.0,48
1205449,Q35314,Nikita_Khrushchev,Male,Europe,Eastern Europe,Leadership,Politics,politician,13884160,420.0,44
1368323,Q44197,Maximilien_Robespierre,Male,Europe,Western Europe,Leadership,Politics,politician,9445909,422.0,48
1239261,Q36740,Aung_San_Suu_Kyi,Female,Asia,SouthEast Asia,Leadership,Politics,politician,9101234,424.0,48
107722,Q123867,Marquis_de_Sade,Male,Europe,Western Europe,Culture,Culture-core,writer,7365056,426.0,65
1369284,Q44279,Oliver_Cromwell,Male,Europe,Western Europe,Leadership,Politics,politician,10699478,432.0,52
2273124,Q9545,Tony_Blair,Male,Europe,Western Europe,Leadership,Politics,politician,7874501,433.0,50
1301656,Q39212,John_Steinbeck,Male,America,Northern America,Culture,Culture-core,writer,6073543,438.0,76
695938,Q2105,Jacques_Chirac,Male,Europe,Western Europe,Leadership,Politics,politician,6899555,445.0,49
2258709,Q9204,C._S._Lewis,Male,Europe,Western Europe,Culture,Culture-core,writer,7198677,452.0,67
579070,Q192,David_Cameron,Male,Europe,Western Europe,Leadership,Politics,politician,11237655,453.0,45
1059818,Q3052772,Emmanuel_Macron,Male,Europe,Western Europe,Leadership,Politics,politician,34336912,461.0,41
2264962,Q93354,F._Scott_Fitzgerald,Male,America,Northern America,Culture,Culture-core,writer,10307770,465.0,79
650670,Q2038,François_Mitterrand,Male,Europe,Western Europe,Leadership,Politics,politician,5079709,470.0,58
1839746,Q61064,Wassily_Kandinsky,Male,Europe,Eastern Europe,Culture,Culture-core,painter,7375490,471.0,88
394882,Q16574,Chiang_Kai-shek,Male,Asia,Eastern Asia,Leadership,Politics,politician,9914833,474.0,45
137295,Q1316,Saddam_Hussein,Male,Asia,Western Asia (Middle East Caucasus),Leadership,Politics,politician,22348272,484.0,42
65796,Q1149,Indira_Gandhi,Female,Asia,South Asia incl. Indian Peninsula,Leadership,Politics,politician,13200882,485.0,46
83587,Q11860,Silvio_Berlusconi,Male,Europe,Southern Europe,Leadership,Politics,politician,9870326,490.0,43
81323,Q11813,James_Madison,Male,America,Northern America,Leadership,Politics,politician,6516815,491.0,51
222128,Q152384,Joan_Miró,Male,Europe,Southern Europe,Culture,Culture-core,painter,4624757,505.0,85
1319116,Q40599,Édouard_Manet,Male,Europe,Western Europe,Culture,Culture-core,painter,4438123,510.0,91
1312223,Q39931,Pierre-Auguste_Renoir,Male,Europe,Western Europe,Culture,Culture-core,painter,5411180,512.5,90
1257947,Q37571,Jackson_Pollock,Male,America,Northern America,Culture,Culture-core,painter,7232313,516.0,67
1188426,Q34474,Aleksandr_Solzhenitsyn,Male,Europe,Eastern Europe,Culture,Culture-core,writer,5825931,517.0,60
315660,Q160534,Jack_Kerouac,Male,America,Northern America,Culture,Culture-core,writer,5583994,523.0,77
136680,Q13133,Michelle_Obama,Female,America,Northern America,Leadership,Administration/Law,lawyer,16518857,525.0,47
81544,Q11816,John_Quincy_Adams,Male,America,Northern America,Leadership,Politics,politician,6312671,529.0,51
1350409,Q43067,Heinrich_Himmler,Male,Europe,Western Europe,Leadership,Politics,politician,16223857,532.5,42
1323715,Q41117,Kim_Il-sung,Male,Asia,Eastern Asia,Leadership,Politics,politician,11708024,538.0,44
1365530,Q440,Salvador_Allende,Male,America,South America,Leadership,Politics,politician,5595697,543.0,52
72645,Q11666,Maria_Sharapova,Female,Europe,Eastern Europe,Sports/Games,Sports/Games,player,13492590,553.5,41
127544,Q12881,Paulo_Coelho,Male,America,South America,Culture,Culture-core,writer,8426778,557.0,61
1188040,Q34453,Boris_Yeltsin,Male,Europe,Eastern Europe,Leadership,Politics,politician,11239112,564.0,43
149417,Q134798,Haruki_Murakami,Male,Asia,Eastern Asia,Culture,Culture-core,writer,10422076,569.0,55
1763254,Q57410,Shimon_Peres,Male,Asia,Western Asia (Middle East Caucasus),Leadership,Politics,politician,5363930,571.5,61
731510,Q2172,Lance_Armstrong,Male,America,Northern America,Sports/Games,Sports/Games,sport,10675868,583.5,44
180335,Q1426,Roger_Federer,Male,Europe,Western Europe,Sports/Games,Sports/Games,player,44454000,591.0,38
1369606,Q44306,Salman_Rushdie,Male,Europe,Western Europe,Culture,Culture-core,writer,7110165,602.5,70
1777925,Q5812,Novak_Djokovic,Male,Europe,Southern Europe,Sports/Games,Sports/Games,player,27630500,606.0,38
852505,Q2518,Helmut_Kohl,Male,Europe,Western Europe,Leadership,Politics,politician,6406890,612.0,48
1453426,Q47906,Hermann_Göring,Male,Europe,Western Europe,Leadership,Politics,politician,12393140,615.0,43
2234295,Q8573,Sun_Yat-sen,Male,Asia,Eastern Asia,Leadership,Politics,politician,6248244,639.0,51
128584,Q128995,Anthony_Eden,Male,Europe,Western Europe,Leadership,Politics,politician,9800790,644.0,53
2214884,Q80504,Nicolae_Ceaușescu,Male,Europe,Eastern Europe,Leadership,Politics,politician,9143400,660.5,44
37676,Q10664,Neville_Chamberlain,Male,Europe,Western Europe,Leadership,Politics,politician,5540443,660.5,52
1240131,Q368,Augusto_Pinochet,Male,America,South America,Leadership,Politics,politician,11443994,667.0,40
708354,Q2124,Valéry_Giscard_d'Estaing,Male,Europe,Western Europe,Leadership,Politics,politician,4295470,670.0,55
1699,Q10132,Rafael_Nadal,Male,Europe,Southern Europe,Sports/Games,Sports/Games,player,32249952,681.0,37
1201427,Q35171,Grover_Cleveland,Male,America,Northern America,Leadership,Politics,politician,6322343,684.0,43
2234902,Q8612,Andrew_Johnson,Male,America,Northern America,Leadership,Politics,politician,5997084,685.0,43
208981,Q15031,Xi_Jinping,Male,Asia,Eastern Asia,Leadership,Politics,politician,18411732,691.0,39
1307515,Q39524,Gamal_Abdel_Nasser,Male,Africa,North Africa,Leadership,Politics,politician,6378361,698.0,42
1220526,Q36023,Calvin_Coolidge,Male,America,Northern America,Leadership,Politics,politician,6042819,704.0,43
1198419,Q35041,William_McKinley,Male,America,Northern America,Leadership,Politics,politician,7023492,724.0,41
1321971,Q40933,Eva_Perón,Female,America,South America,Leadership,Politics,politician,9927429,729.0,39
1189560,Q34597,James_A._Garfield,Male,America,Northern America,Leadership,Politics,politician,5649964,765.0,43
446378,Q16977,Deng_Xiaoping,Male,Asia,Eastern Asia,Leadership,Politics,politician,7022686,774.0,40
1820954,Q60045,Albert_Speer,Male,Europe,Western Europe,Leadership,Politics,politician,6339834,780.0,46
1306166,Q39444,Ronaldinho,Male,America,South America,Sports/Games,Sports/Games,football,31681220,789.0,36
1370399,Q444,Lech_Wałęsa,Male,Europe,Eastern Europe,Leadership,Politics,politician,4626105,801.5,46
2224308,Q82006,Benjamin_Disraeli,Male,Europe,Western Europe,Leadership,Politics,politician,3085373,816.0,65
1389177,Q45901,Thierry_Henry,Male,Europe,Western Europe,Sports/Games,Sports/Games,football,8926958,832.0,38
362561,Q162269,Jefferson_Davis,Male,America,Northern America,Leadership,Politics,politician,5528011,835.0,47
897760,Q26702,Cardinal_Richelieu,Male,Europe,Western Europe,Leadership,Politics,politician,4464400,842.0,53
551708,Q186652,"Gilbert_du_Motier,_Marquis_de_Lafayette",Male,Europe,Western Europe,Leadership,Politics,politician,5301778,850.0,53
1204468,Q35286,Warren_G._Harding,Male,America,Northern America,Leadership,Politics,politician,6723289,853.0,39
2138535,Q75866,Rudolf_Hess,Male,Europe,Western Europe,Leadership,Politics,politician,9256285,876.0,41
504557,Q177854,Lorenzo_de'_Medici,Male,Europe,Southern Europe,Leadership,Politics,politician,6166866,883.5,59
894763,Q26517,Luis_Suárez,Male,America,South America,Sports/Games,Sports/Games,football,18201738,889.0,35
64501,Q11459,Serena_Williams,Female,America,Northern America,Sports/Games,Sports/Games,player,28785064,891.5,35
81474,Q11815,James_Monroe,Male,America,Northern America,Leadership,Politics,politician,4065693,894.0,43
851947,Q2516,Helmut_Schmidt,Male,Europe,Western Europe,Leadership,Politics,politician,5006873,908.0,45
786751,Q23530,Dmitry_Medvedev,Male,Europe,Eastern Europe,Leadership,Politics,politician,10375431,914.0,37
148282,Q134549,Ted_Kennedy,Male,America,Northern America,Leadership,Politics,politician,8023189,928.5,45
514079,Q180589,Boris_Johnson,Male,Europe,Western Europe,Leadership,Politics,politician,9364520,942.0,42
128655,Q129006,Clement_Attlee,Male,Europe,Western Europe,Leadership,Politics,politician,3313076,959.0,56
